CHEMBL227529|ALOGLIPTIN BENZOATE
CHEMBL4297066|ELIGLUSTAT TARTRATE
CHEMBL1201619|APROTININ
CHEMBL1201605|DACLIZUMAB
CHEMBL4594301|REMIMAZOLAM BESYLATE
CHEMBL1257|ENFLURANE
CHEMBL783|NATEGLINIDE
CHEMBL1200813|ACEBUTOLOL HYDROCHLORIDE
CHEMBL1201016|CEFPODOXIME PROXETIL
CHEMBL3989478|THIETHYLPERAZINE MALEATE
CHEMBL1201891|DEFLAZACORT
CHEMBL315985|ESLICARBAZEPINE
CHEMBL1201562|INTERFERON BETA-1A
CHEMBL3301581|ABALOPARATIDE
CHEMBL2358147|CARPHENAZINE MALEATE
CHEMBL1201182|TEMSIROLIMUS
CHEMBL589|ROPINIROLE
CHEMBL137|METRONIDAZOLE
CHEMBL1201284|CINACALCET
CHEMBL1201141|IBUPROFEN LYSINE
CHEMBL4298211|PEGCETACOPLAN
CHEMBL408403|ANGIOTENSIN II
CHEMBL33986|BUTORPHANOL
CHEMBL4297229|PRABOTULINUMTOXIN A
CHEMBL3833389|DEXTROMORAMIDE
CHEMBL2105395|OSPEMIFENE
CHEMBL1486|TENOFOVIR DISOPROXIL FUMARATE
CHEMBL985|UREA
CHEMBL1571|TESTOLACTONE
CHEMBL3989932|ANGIOTENSIN II ACETATE
CHEMBL75880|PERHEXILINE
CHEMBL3989921|NERATINIB MALEATE
CHEMBL418995|AMINEPTINE
CHEMBL75753|XAMOTEROL
CHEMBL190461|CANNABIDIOL
CHEMBL2106419|LERCANIDIPINE HYDROCHLORIDE
CHEMBL1683|HYDROCORTISONE BUTYRATE
CHEMBL511142|BUPRENORPHINE
CHEMBL1289601|LENVATINIB
CHEMBL316561|PROGLUMIDE
CHEMBL969|PRAZEPAM
CHEMBL383675|TEMOPORFIN
CHEMBL3348963|TELOTRISTAT ETIPRATE
CHEMBL1200444|PIRBUTEROL ACETATE
CHEMBL1201093|METHYL AMINOLEVULINATE HYDROCHLORIDE
CHEMBL4594272|BEROTRALSTAT HYDROCHLORIDE
CHEMBL3545311|BRIGATINIB
CHEMBL30219|METHOHEXITAL SODIUM
CHEMBL2096631|CLORAZEPATE DIPOTASSIUM
CHEMBL1533310|HISTAMINE DIHYDROCHLORIDE
CHEMBL2043437|GLASDEGIB
CHEMBL8|CIPROFLOXACIN
CHEMBL3989868|TUCATINIB
CHEMBL1200782|DEXTROAMPHETAMINE ADIPATE
CHEMBL462605|PITOLISANT
CHEMBL1201765|FESOTERODINE FUMARATE
CHEMBL1363|ARFORMOTEROL
CHEMBL1743082|TRASTUZUMAB EMTANSINE
CHEMBL750|ZONISAMIDE
CHEMBL526|PROPOFOL
CHEMBL2108078|PARATHYROID HORMONE
CHEMBL2106195|DEXMEDETOMIDINE HYDROCHLORIDE
CHEMBL1200632|CLINDAMYCIN PALMITATE HYDROCHLORIDE
CHEMBL1729|CISAPRIDE
CHEMBL1201341|ECHOTHIOPHATE
CHEMBL1771|CLOPIDOGREL
CHEMBL325109|CLEBOPRIDE
CHEMBL1200896|DINOPROST TROMETHAMINE
CHEMBL1524273|PHTHALYLSULFATHIAZOLE
CHEMBL1200578|THEOPHYLLINE SODIUM GLYCINATE
CHEMBL1738|DEXRAZOXANE
CHEMBL716|QUETIAPINE
CHEMBL1200621|GEMIFLOXACIN MESYLATE
CHEMBL502|DONEPEZIL
CHEMBL4297549|HUMAN C1-ESTERASE INHIBITOR
CHEMBL3707246|OZANIMOD HYDROCHLORIDE
CHEMBL4298047|TAFASITAMAB
CHEMBL1101|BIPERIDEN
CHEMBL1628502|GABAPENTIN ENACARBIL
CHEMBL1201621|SOMATROPIN
CHEMBL451|CHLORDIAZEPOXIDE
CHEMBL3989919|FOSNETUPITANT CHLORIDE HYDROCHLORIDE
CHEMBL830|EFLORNITHINE
CHEMBL2105708|PONATINIB HYDROCHLORIDE
CHEMBL1727|CEPHALEXIN
CHEMBL2095211|LORCASERIN HYDROCHLORIDE
CHEMBL1201747|ALCAFTADINE
CHEMBL1200617|RIMEXOLONE
CHEMBL1372950|NICERGOLINE
CHEMBL1134|DECAMETHONIUM BROMIDE
CHEMBL2110732|DACOMITINIB
CHEMBL3187246|METHAPYRILENE FUMARATE
CHEMBL1200627|PROPIOLACTONE
CHEMBL514800|APREMILAST
CHEMBL493982|VORAPAXAR
CHEMBL395091|ESKETAMINE
CHEMBL697|METHSUXIMIDE
CHEMBL1201287|DEXBROMPHENIRAMINE
CHEMBL4216467|RIPRETINIB
CHEMBL1200398|BUTOCONAZOLE NITRATE
CHEMBL1200868|PHENYL AMINOSALICYLATE
CHEMBL1201608|MUROMONAB-CD3
CHEMBL1201575|EFALIZUMAB
CHEMBL1200638|DEXBROMPHENIRAMINE MALEATE
CHEMBL1200402|AMLODIPINE BESYLATE
CHEMBL1107|HALOFANTRINE
CHEMBL2105842|CORTIVAZOL
CHEMBL221959|TOFACITINIB
