CHEMBL1200950|CLIDINIUM BROMIDE
CHEMBL1200733|DESFLURANE
CHEMBL1201628|INSULIN SUSP PROTAMINE ZINC BEEF
CHEMBL36|PYRIMETHAMINE
CHEMBL535650|MEFLOQUINE HYDROCHLORIDE
CHEMBL1094636|NIRAPARIB
CHEMBL1092|TRIHEXYPHENIDYL HYDROCHLORIDE
CHEMBL1200569|CAFFEINE, CITRATED
CHEMBL2108675|DUPILUMAB
CHEMBL1138|EZETIMIBE
CHEMBL1770248|ERTUGLIFLOZIN
CHEMBL242580|CICLOPIROX OLAMINE
CHEMBL363295|TERODILINE
CHEMBL1042|CHOLECALCIFEROL
CHEMBL1201561|PEGINTERFERON ALFA-2B
CHEMBL1648|ISRADIPINE
CHEMBL675|ALENDRONATE SODIUM
CHEMBL1200598|DIETHYLSTILBESTROL DIPHOSPHATE
CHEMBL4650272|TRILACICLIB DIHYDROCHLORIDE
CHEMBL384467|DEXAMETHASONE
CHEMBL24171|BERGAPTEN
CHEMBL554|LAPATINIB
CHEMBL1201|THIOTHIXENE
CHEMBL681|ETOMIDATE
CHEMBL2105395|OSPEMIFENE
CHEMBL1201173|MEDRYSONE
CHEMBL1215|PHENYLEPHRINE
CHEMBL1316|CARPROFEN
CHEMBL1245|TRIMETHAPHAN CAMSYLATE
CHEMBL3137343|PEMBROLIZUMAB
CHEMBL221959|TOFACITINIB
CHEMBL256997|ATALUREN
CHEMBL1201560|PEGINTERFERON ALFA-2A
CHEMBL1554|DACTINOMYCIN
CHEMBL3894860|TRILACICLIB
CHEMBL1742992|BLINATUMOMAB
CHEMBL1201356|METHYLERGONOVINE
CHEMBL1628234|DOXEPIN HYDROCHLORIDE
CHEMBL37744|ZIMELDINE
CHEMBL641|ATOMOXETINE
CHEMBL359744|DOXORUBICIN HYDROCHLORIDE
CHEMBL119443|ERGONOVINE
CHEMBL3305985|ALCURONIUM
CHEMBL419213|LISINOPRIL
CHEMBL400599|BENFLUOREX
CHEMBL4298047|TAFASITAMAB
CHEMBL254857|FIPEXIDE
CHEMBL1201534|DANAPAROID SODIUM
CHEMBL1201099|CODEINE PHOSPHATE
CHEMBL1201837|ECALLANTIDE
CHEMBL569713|SCOPOLAMINE
CHEMBL2103870|LUMACAFTOR
CHEMBL338975|PHYSOSTIGMINE SALICYLATE
CHEMBL1411731|TALAMPICILLIN HYDROCHLORIDE
CHEMBL1200386|PREDNICARBATE
CHEMBL1201014|PREDNISOLONE SODIUM PHOSPHATE
CHEMBL15677|FENCLOFENAC
CHEMBL1200444|PIRBUTEROL ACETATE
CHEMBL220492|TOPIRAMATE
CHEMBL649|NADOLOL
CHEMBL46|ONDANSETRON
CHEMBL2105689|LULICONAZOLE
CHEMBL2028852|ICATIBANT ACETATE
CHEMBL1569|AMANTADINE HYDROCHLORIDE
CHEMBL512351|BETRIXABAN
CHEMBL1200597|ETIDOCAINE HYDROCHLORIDE
CHEMBL27810|CELIPROLOL
CHEMBL2109092|EPOETIN BETA
CHEMBL1231723|POLIDOCANOL
CHEMBL1201454|ALSEROXYLON
CHEMBL1418176|METHANDROSTENOLONE
CHEMBL181|DIAZOXIDE
CHEMBL1531|ETONOGESTREL
CHEMBL54349|ALPIDEM
CHEMBL2105749|SAMIDORPHAN L-MALATE
CHEMBL1690|HYDROXYCHLOROQUINE SULFATE
CHEMBL1435|CEFAZOLIN
CHEMBL1200472|QUAZEPAM
CHEMBL1607|TOPOTECAN HYDROCHLORIDE
CHEMBL1201656|INSULIN SUSP ISOPHANE PURIFIED PORK
CHEMBL1615779|IOBENGUANE I 131
CHEMBL62193|SULFADIMETHOXINE
CHEMBL1201419|LUTROPIN ALFA
CHEMBL2095208|COBICISTAT
CHEMBL1200807|NORELGESTROMIN
CHEMBL454|BUTALBITAL
CHEMBL1018|DIENESTROL
CHEMBL302795|TENOXICAM
CHEMBL3989919|FOSNETUPITANT CHLORIDE HYDROCHLORIDE
CHEMBL1201538|INSULIN LISPRO
CHEMBL1492|DIPHENYLPYRALINE
CHEMBL313972|MASOPROCOL
CHEMBL1700|SOTALOL HYDROCHLORIDE
CHEMBL72|DESIPRAMINE
CHEMBL1100|PARAMETHADIONE
CHEMBL2107354|MIFAMURTIDE
CHEMBL1200530|CEFOXITIN SODIUM
CHEMBL1456|MYCOPHENOLATE MOFETIL
CHEMBL285674|ESTAZOLAM
CHEMBL878|METOLAZONE
CHEMBL595|PIOGLITAZONE
CHEMBL1716|CYPROHEPTADINE HYDROCHLORIDE
CHEMBL1200468|MALATHION
CHEMBL1200690|LYPRESSIN
CHEMBL1852688|INFIGRATINIB
CHEMBL1473|FLUTICASONE PROPIONATE
CHEMBL1617|RIFAXIMIN
CHEMBL2364607|COBIMETINIB FUMARATE
CHEMBL1200550|ANTAZOLINE PHOSPHATE
CHEMBL1433|DOXYCYCLINE ANHYDROUS
CHEMBL1568057|METAPROTERENOL SULFATE
CHEMBL1580|PENTOSTATIN
CHEMBL404849|SULOCTIDIL
CHEMBL1201049|ECONAZOLE NITRATE
CHEMBL398435|TICAGRELOR
CHEMBL1201064|FLUOROMETHOLONE ACETATE
CHEMBL1200374|EXEMESTANE
CHEMBL1696|DESIPRAMINE HYDROCHLORIDE
CHEMBL1201087|CABERGOLINE
CHEMBL1200682|SODIUM OXYBATE
CHEMBL1208422|ROSE BENGAL
CHEMBL1200879|WARFARIN SODIUM
CHEMBL1201035|BIPERIDEN HYDROCHLORIDE
CHEMBL1200398|BUTOCONAZOLE NITRATE
CHEMBL1536|ERGOCALCIFEROL
CHEMBL4297723|CEMIPLIMAB
CHEMBL1200781|CITALOPRAM HYDROBROMIDE
CHEMBL565|CLOFIBRATE
CHEMBL1201513|HEPARIN CALCIUM
CHEMBL2062276|LEVALLORPHAN TARTRATE
CHEMBL3989915|DIFELIKEFALIN
CHEMBL2364638|UBROGEPANT
CHEMBL708|ZIPRASIDONE
CHEMBL1219|RABEPRAZOLE
CHEMBL328190|LASOFOXIFENE
CHEMBL1201012|FLURANDRENOLIDE
CHEMBL479|THIORIDAZINE
CHEMBL1743007|DARATUMUMAB
CHEMBL1201821|PALIFERMIN
CHEMBL893|DICLOXACILLIN
CHEMBL553025|VINORELBINE
CHEMBL4297852|CENEGERMIN
CHEMBL1200334|MORICIZINE HYDROCHLORIDE
CHEMBL1111|AMBRISENTAN
CHEMBL1670|MITOTANE
CHEMBL1201165|QUINESTROL
CHEMBL113|CAFFEINE
CHEMBL1200782|DEXTROAMPHETAMINE ADIPATE
CHEMBL614|PYRAZINAMIDE
CHEMBL941|IMATINIB
CHEMBL526|PROPOFOL
CHEMBL1200627|PROPIOLACTONE
CHEMBL386630|TESTOSTERONE
CHEMBL981|FENOFIBRIC ACID
CHEMBL1201464|CHORIOGONADOTROPIN ALFA
CHEMBL350221|OXITRIPTAN
CHEMBL422|TRIFLUOPERAZINE
CHEMBL12856|INAMRINONE
CHEMBL1201572|ETANERCEPT
CHEMBL1591|DEMECLOCYCLINE
CHEMBL1201047|ANILERIDINE HYDROCHLORIDE
CHEMBL2062335|METOPROLOL TARTRATE
CHEMBL3833389|DEXTROMORAMIDE
CHEMBL4594217|CANAGLIFLOZIN
CHEMBL360328|LORCASERIN
CHEMBL185073|PANCURONIUM
CHEMBL2108222|ALOXIPRIN
CHEMBL1201155|LOXAPINE SUCCINATE
CHEMBL3039596|FOSINOPRIL SODIUM
CHEMBL1201287|DEXBROMPHENIRAMINE
CHEMBL12610|BENZYDAMINE
CHEMBL1367605|RITODRINE HYDROCHLORIDE
CHEMBL3989698|TRANYLCYPROMINE SULFATE
CHEMBL1200762|BETAMETHASONE SODIUM PHOSPHATE
CHEMBL1200993|GALLAMINE TRIETHIODIDE
CHEMBL2024517|CARIPRAZINE HYDROCHLORIDE
CHEMBL1529|DIPHENIDOL HYDROCHLORIDE
CHEMBL1200790|METHYPRYLON
CHEMBL1201151|MESTRANOL
CHEMBL53|APOMORPHINE
CHEMBL3989986|RAVULIZUMAB
CHEMBL98123|PAPAVERINE HYDROCHLORIDE
CHEMBL1483|ALBENDAZOLE
CHEMBL24147|RESORCINOL
CHEMBL1201448|ARDEPARIN SODIUM
CHEMBL43452|POMALIDOMIDE
CHEMBL1200560|GUANABENZ ACETATE
CHEMBL2103827|DROXIDOPA
CHEMBL871|ETIDRONIC ACID
CHEMBL1200893|PROTOKYLOL HYDROCHLORIDE
CHEMBL2105760|BREXPIPRAZOLE
CHEMBL116|AMPRENAVIR
CHEMBL1201063|PROPAFENONE HYDROCHLORIDE
CHEMBL3989520|HISTAMINE PHOSPHATE
CHEMBL4594248|CALCITONIN HUMAN
CHEMBL578|ENALAPRIL
CHEMBL779|TADALAFIL
CHEMBL1200974|CARBINOXAMINE MALEATE
CHEMBL3185958|CLOMIPHENE CITRATE
CHEMBL1533|DESOGESTREL
CHEMBL3989923|PITAVASTATIN MAGNESIUM
CHEMBL1522|ESZOPICLONE
CHEMBL2040682|CICLESONIDE
CHEMBL1229517|VEMURAFENIB
CHEMBL1659|CHLORPHENIRAMINE MALEATE
CHEMBL1451116|IODOFORM
CHEMBL1200641|CISATRACURIUM BESYLATE
CHEMBL211471|NEOSTIGMINE METHYLSULFATE
CHEMBL1095|ETHOTOIN
CHEMBL1200665|DIPHENOXYLATE HYDROCHLORIDE
CHEMBL260538|ULIPRISTAL ACETATE
CHEMBL1009|LEVODOPA
CHEMBL723|CARVEDILOL
CHEMBL1054|TRICHLORMETHIAZIDE
CHEMBL139|DICLOFENAC
CHEMBL3707357|BROLUCIZUMAB
CHEMBL1121|SINCALIDE
CHEMBL360055|GALLAMINE
CHEMBL311498|CIANIDANOL
CHEMBL1272|REPAGLINIDE
CHEMBL1200470|ESOMEPRAZOLE SODIUM
CHEMBL2105712|AFATINIB DIMALEATE
CHEMBL1200689|NITRIC OXIDE
CHEMBL223228|EFAVIRENZ
CHEMBL1201717|MECASERMIN RINFABATE
CHEMBL842|CHLOROTHIAZIDE
CHEMBL567597|ARTEMISININ
CHEMBL1200967|BROMODIPHENHYDRAMINE HYDROCHLORIDE
CHEMBL1200853|DYDROGESTERONE
CHEMBL1908373|ONAPRISTONE
CHEMBL1200692|OLMESARTAN MEDOXOMIL
CHEMBL3544906|BENZPHETAMINE HYDROCHLORIDE
CHEMBL232201|BENZIODARONE
CHEMBL3218576|COPANLISIB
CHEMBL1743010|ELOTUZUMAB
CHEMBL989|FLUOCINOLONE ACETONIDE
CHEMBL1200989|ALCLOMETASONE DIPROPIONATE
CHEMBL379845|METHYL NICOTINATE
CHEMBL831|LOXAPINE
CHEMBL897|PROBENECID
CHEMBL2108806|BEMIPARIN SODIUM
CHEMBL1200443|MERETHOXYLLINE PROCAINE
CHEMBL625|THIABENDAZOLE
CHEMBL960|LEFLUNOMIDE
CHEMBL3402762|TEPOTINIB
CHEMBL3833393|EMICIZUMAB
CHEMBL3590187|CLASCOTERONE
CHEMBL1201066|VENLAFAXINE HYDROCHLORIDE
CHEMBL1084172|VILANTEROL TRIFENATATE
CHEMBL451|CHLORDIAZEPOXIDE
CHEMBL580|LORAZEPAM
CHEMBL932|DIPYRIDAMOLE
CHEMBL298734|LONAFARNIB
CHEMBL41355|EZOGABINE
CHEMBL3137326|DUTETRABENAZINE
CHEMBL2103743|TOFACITINIB CITRATE
CHEMBL418995|AMINEPTINE
CHEMBL1201575|EFALIZUMAB
CHEMBL4802130|BELUMOSUDIL MESYLATE
CHEMBL3989695|REGADENOSON
CHEMBL4298150|SIPONIMOD FUMARATE
CHEMBL1200322|ESCITALOPRAM OXALATE
CHEMBL284348|DALFAMPRIDINE
CHEMBL1180003|CETRIMIDE
CHEMBL3137309|VENETOCLAX
CHEMBL224325|CHLORQUINALDOL
CHEMBL95889|BETAINE
CHEMBL549|CITALOPRAM
CHEMBL2364649|MARGETUXIMAB
CHEMBL1560089|XANTHINOL NIACINATE
CHEMBL90593|PRASTERONE
CHEMBL1265|ADAPALENE
CHEMBL1200406|DIMENHYDRINATE
CHEMBL1200411|ROPINIROLE HYDROCHLORIDE
CHEMBL1200549|RAPACURONIUM BROMIDE
CHEMBL1201037|EFLORNITHINE HYDROCHLORIDE
CHEMBL1202|CIPROFLOXACIN HYDROCHLORIDE
CHEMBL3286830|LORLATINIB
CHEMBL1201563|INTERFERON BETA-1B
CHEMBL225071|RALTITREXED
CHEMBL562|GRISEOFULVIN
CHEMBL421|SULFASALAZINE
CHEMBL902|FAMOTIDINE
CHEMBL1200904|SELEGILINE HYDROCHLORIDE
CHEMBL1256842|NOMIFENSINE MALEATE
CHEMBL1201129|DECITABINE
CHEMBL926|DOBUTAMINE
CHEMBL1256818|DEXTROMETHORPHAN HYDROBROMIDE
CHEMBL457|GEMFIBROZIL
CHEMBL3833373|AVELUMAB
CHEMBL1471|APREPITANT
CHEMBL1345|GUANETHIDINE MONOSULFATE
CHEMBL1201414|TINZAPARIN SODIUM
CHEMBL1201749|DIFLUPREDNATE
CHEMBL1064|SIMVASTATIN
CHEMBL466659|PENTAERYTHRITOL TETRANITRATE
CHEMBL894|BUPROPION
CHEMBL1314|TIOPRONIN
CHEMBL712|ANISINDIONE
CHEMBL395091|ESKETAMINE
CHEMBL64894|GENTIAN VIOLET
CHEMBL1275|PERGOLIDE MESYLATE
CHEMBL325109|CLEBOPRIDE
CHEMBL904|DEXMETHYLPHENIDATE HYDROCHLORIDE
CHEMBL1289494|TIVOZANIB
CHEMBL187709|TRIPARANOL
CHEMBL1201641|INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN
CHEMBL647|APRACLONIDINE
CHEMBL1200732|AMCINONIDE
CHEMBL192|SILDENAFIL
CHEMBL1136|TELITHROMYCIN
CHEMBL70|MORPHINE
CHEMBL2068724|ACAMPROSATE CALCIUM
CHEMBL1201565|EPOETIN ALFA
CHEMBL109|VALPROIC ACID
CHEMBL1201103|METHOXAMINE HYDROCHLORIDE
CHEMBL1200491|EPINASTINE HYDROCHLORIDE
CHEMBL464|ETRETINATE
CHEMBL538943|VINORELBINE TARTRATE
CHEMBL135|ESTRADIOL
CHEMBL2355051|CLOMIPHENE
CHEMBL2146883|COBIMETINIB
CHEMBL1201213|ISOETHARINE
CHEMBL504760|CAMPHOR
CHEMBL1336|SORAFENIB
CHEMBL1200487|ETHACRYNATE SODIUM
CHEMBL486696|DOMIPHEN BROMIDE
CHEMBL464982|GAMOLENIC ACID
CHEMBL608533|MIDOSTAURIN
CHEMBL803|CYTARABINE
CHEMBL690|PRAVASTATIN SODIUM
CHEMBL2105695|TELOTRISTAT ETHYL
CHEMBL373742|VASOPRESSIN
CHEMBL1477036|DOCUSATE
CHEMBL31|GATIFLOXACIN
CHEMBL490|PAROXETINE
CHEMBL1256819|ANTAZOLINE HYDROCHLORIDE
CHEMBL429910|DAPAGLIFLOZIN
CHEMBL1201831|CERTOLIZUMAB PEGOL
CHEMBL57|NEVIRAPINE
CHEMBL3184143|GUANADREL SULFATE
CHEMBL4297066|ELIGLUSTAT TARTRATE
CHEMBL3989830|SIBUTRAMINE HYDROCHLORIDE
CHEMBL1739|METOCURINE IODIDE
CHEMBL2048028|LIFITEGRAST
CHEMBL924|ZOLEDRONIC ACID
CHEMBL843|ROSIGLITAZONE MALEATE
CHEMBL3301603|GILTERITINIB FUMARATE
CHEMBL104|CLOTRIMAZOLE
CHEMBL1201420|UROKINASE
CHEMBL1255739|METHAPYRILENE HYDROCHLORIDE
CHEMBL1201187|MARAVIROC
CHEMBL2108681|TILDRAKIZUMAB
CHEMBL1963683|TAFLUPROST
CHEMBL2107834|RIOCIGUAT
CHEMBL3989514|IRINOTECAN HYDROCHLORIDE
CHEMBL3989861|DESVENLAFAXINE FUMARATE
CHEMBL550348|DEFERASIROX
CHEMBL2105704|LENVATINIB MESYLATE
CHEMBL1363|ARFORMOTEROL
CHEMBL1425|MERCAPTOPURINE
CHEMBL956|SUPROFEN
CHEMBL957|BOSENTAN
CHEMBL127516|BUTAMBEN
CHEMBL1743043|MOXETUMOMAB PASUDOTOX
CHEMBL1565476|APAZONE
CHEMBL498|CHLORPROPAMIDE
CHEMBL977|HYDROCORTISONE HEMISUCCINATE
CHEMBL2107387|VORTIOXETINE HYDROBROMIDE
CHEMBL435|HYDROCHLOROTHIAZIDE
CHEMBL1685|DEZOCINE
CHEMBL2110900|DAPOXETINE
CHEMBL2108677|PEGINTERFERON BETA-1A
CHEMBL1255654|TETRACAINE HYDROCHLORIDE
CHEMBL905|RIZATRIPTAN
CHEMBL25|ASPIRIN
CHEMBL1339|VARDENAFIL HYDROCHLORIDE
CHEMBL305187|IFENPRODIL
CHEMBL1200810|DOXERCALCIFEROL
CHEMBL193482|ESTRIOL
CHEMBL38|TRETINOIN
CHEMBL2111101|PIMAVANSERIN
CHEMBL41|FLUOXETINE
CHEMBL2109624|CAPLACIZUMAB
CHEMBL1200694|SEVOFLURANE
CHEMBL2364653|ANIFROLUMAB
CHEMBL1201203|BENZTROPINE
CHEMBL600325|PROSCILLARIDIN
CHEMBL1725730|LEVOMEPROMAZINE MALEATE
CHEMBL4298139|SERDEXMETHYLPHENIDATE CHLORIDE
CHEMBL42|CLOZAPINE
CHEMBL301265|PRAMIPEXOLE
CHEMBL1599768|PYRANTEL PAMOATE
CHEMBL1237119|TREPROSTINIL
CHEMBL201960|PYROVALERONE
CHEMBL289469|GRANISETRON
CHEMBL219916|DOMPERIDONE
CHEMBL1328|PENTAGASTRIN
CHEMBL349803|PIRETANIDE
CHEMBL1200438|TIOCONAZOLE
CHEMBL1200339|PHENYLEPHRINE HYDROCHLORIDE
CHEMBL720|BENZYL ALCOHOL
CHEMBL55400|PROFLAVINE
CHEMBL1702|ATOMOXETINE HYDROCHLORIDE
CHEMBL2070241|BREMELANOTIDE
CHEMBL1200660|ISOSORBIDE
CHEMBL1789843|BELIMUMAB
CHEMBL1620|DIPHENHYDRAMINE HYDROCHLORIDE
CHEMBL1744447|ROSUVASTATIN CALCIUM
CHEMBL506247|TANNIC ACID
CHEMBL1200826|LITHIUM CARBONATE
CHEMBL501867|VINCRISTINE SULFATE
CHEMBL4297770|INOTERSEN
CHEMBL146095|GLAFENINE
CHEMBL2134724|IPRATROPIUM BROMIDE
CHEMBL1096979|BENSERAZIDE
CHEMBL1742991|BENRALIZUMAB
CHEMBL1504|TRIAMCINOLONE ACETONIDE
CHEMBL3707313|TRIFAROTENE
CHEMBL1201745|CHOLINE FENOFIBRATE
CHEMBL3989949|CENOBAMATE
CHEMBL315795|CLOMETHIAZOLE
CHEMBL1200437|QUINIDINE GLUCONATE
CHEMBL496|HEXACHLOROPHENE
CHEMBL1200695|PHENYLPROPANOLAMINE HYDROCHLORIDE
CHEMBL1742996|BRODALUMAB
CHEMBL3989939|LAROTRECTINIB SULFATE
CHEMBL1256696|CARBETAPENTANE CITRATE
CHEMBL1447476|BITHIONOLATE SODIUM
CHEMBL1561|MIGLITOL
CHEMBL1200883|THONZONIUM BROMIDE
CHEMBL2356023|DIHYDROTACHYSTEROL
CHEMBL822|TERBINAFINE
CHEMBL90555|VINCRISTINE
CHEMBL815|DINOPROST
CHEMBL3991065|ATOGEPANT
CHEMBL2181927|FINERENONE
CHEMBL1201027|GLYCOPYRROLATE
CHEMBL1709|SERTRALINE HYDROCHLORIDE
CHEMBL174|AMPICILLIN
CHEMBL3301607|FILGOTINIB
CHEMBL1174|EPTIFIBATIDE
CHEMBL1200920|ISOETHARINE HYDROCHLORIDE
CHEMBL1200556|DESMOPRESSIN ACETATE
CHEMBL841|LOPERAMIDE
CHEMBL1200984|AMLODIPINE MALEATE
CHEMBL2146133|ESOMEPRAZOLE MAGNESIUM
CHEMBL3989754|FLURBIPROFEN SODIUM
CHEMBL4298209|BELANTAMAB MAFODOTIN
CHEMBL1946170|REGORAFENIB
CHEMBL73234|CARBETAPENTANE
CHEMBL1201149|NALTREXONE HYDROCHLORIDE
CHEMBL1614|DESLANOSIDE
CHEMBL4297522|PEMIGATINIB
CHEMBL456|ETHACRYNIC ACID
CHEMBL617|CEPHALOTHIN
CHEMBL1094|FELBAMATE
CHEMBL441|THIOPENTAL
CHEMBL1743049|OLARATUMAB
CHEMBL1109|SULFAPHENAZOLE
CHEMBL679|EPINEPHRINE
CHEMBL414804|OXALIPLATIN
CHEMBL1467|ALLOPURINOL
CHEMBL539770|TERODILINE HYDROCHLORIDE
CHEMBL1200934|NORGESTIMATE
CHEMBL557555|CIPROFIBRATE
CHEMBL48582|SAFINAMIDE MESYLATE
CHEMBL730|NITROGLYCERIN
CHEMBL4297185|DAROLUTAMIDE
CHEMBL135400|ZOPICLONE
CHEMBL409|BICALUTAMIDE
CHEMBL1637|GEMCITABINE HYDROCHLORIDE
CHEMBL521|IBUPROFEN
CHEMBL54976|TRYPTOPHAN
CHEMBL1256391|PIRFENIDONE
CHEMBL191083|METHYLENE BLUE
CHEMBL1201163|SUFENTANIL CITRATE
CHEMBL1200833|DIPIVEFRIN HYDROCHLORIDE
CHEMBL1201557|INTERFERON ALFACON-1
CHEMBL1237|LISINOPRIL
CHEMBL986|RETINOL
CHEMBL134|CLONIDINE
CHEMBL1201577|CETUXIMAB
CHEMBL1441059|ALBUTEROL SULFATE
CHEMBL1201731|NEBIVOLOL HYDROCHLORIDE
CHEMBL1200796|CYCLOPHOSPHAMIDE
CHEMBL452|CLONAZEPAM
CHEMBL4594260|TAZEMETOSTAT HYDROBROMIDE
CHEMBL503|LOVASTATIN
CHEMBL169901|DEBRISOQUIN
CHEMBL9967|PIRENZEPINE
CHEMBL372795|STREPTOMYCIN
CHEMBL1201003|ELETRIPTAN HYDROBROMIDE
CHEMBL2105458|THENALIDINE
CHEMBL3301668|CARBETOCIN
CHEMBL3833353|PRAMLINTIDE ACETATE
CHEMBL108|CARBAMAZEPINE
CHEMBL3622821|UPADACITINIB
CHEMBL1237099|DOXACURIUM CHLORIDE
CHEMBL2396661|ALPELISIB
CHEMBL1417019|MITOXANTRONE HYDROCHLORIDE
CHEMBL1501|FLUOCINONIDE
CHEMBL1512|FLUNISOLIDE
CHEMBL556|DEFEROXAMINE
CHEMBL3707246|OZANIMOD HYDROCHLORIDE
CHEMBL500|PINDOLOL
CHEMBL1070|NABUMETONE
CHEMBL1201528|VASOPRESSIN TANNATE
CHEMBL1201777|TAPENTADOL HYDROCHLORIDE
CHEMBL748|PRALIDOXIME CHLORIDE
CHEMBL563|FLURBIPROFEN
CHEMBL1200326|NICARDIPINE HYDROCHLORIDE
CHEMBL1201304|INDOCYANINE GREEN
CHEMBL1082407|ENZALUTAMIDE
CHEMBL144673|HEXETIDINE
CHEMBL1587|POLYTHIAZIDE
CHEMBL1742990|BELATACEPT
CHEMBL1021|NEPAFENAC
CHEMBL547|ISOTRETINOIN
CHEMBL2105748|PRUCALOPRIDE SUCCINATE
CHEMBL1615374|VILAZODONE HYDROCHLORIDE
CHEMBL3707227|ATEZOLIZUMAB
CHEMBL193|NIFEDIPINE
CHEMBL1274|NILUTAMIDE
CHEMBL869|NITROFURAZONE
CHEMBL1551|URSODIOL
CHEMBL451887|CARFILZOMIB
CHEMBL1200802|TALBUTAL
CHEMBL515914|AZARIBINE
CHEMBL1159717|TULOBUTEROL
CHEMBL1026|FENOLDOPAM MESYLATE
CHEMBL710|FINASTERIDE
CHEMBL1396|VARENICLINE
CHEMBL220491|BRINZOLAMIDE
CHEMBL1201022|PHENAZOPYRIDINE HYDROCHLORIDE
CHEMBL643|PROMETHAZINE
CHEMBL48449|CANTHARIDIN
CHEMBL237500|LINAGLIPTIN
CHEMBL1201039|BENZTHIAZIDE
CHEMBL1201539|INSULIN PORK
CHEMBL1541|CEFIXIME
CHEMBL1200347|ISOPROPAMIDE IODIDE
CHEMBL21|SULFANILAMIDE
CHEMBL1743087|VEDOLIZUMAB
CHEMBL1201110|VALACYCLOVIR HYDROCHLORIDE
CHEMBL1201476|ENOXAPARIN SODIUM
CHEMBL1657|TAZAROTENE
CHEMBL1116|RALOXIFENE HYDROCHLORIDE
CHEMBL1370|BUDESONIDE
CHEMBL1200865|LOTEPREDNOL ETABONATE
CHEMBL94081|ALCLOFENAC
CHEMBL2141296|IXAZOMIB
CHEMBL184|ACYCLOVIR
CHEMBL817|TOLAZAMIDE
CHEMBL1200541|AMBENONIUM CHLORIDE
CHEMBL1596|CARBENICILLIN INDANYL
CHEMBL1908360|EVEROLIMUS
CHEMBL1089|PHENELZINE
CHEMBL1175|DULOXETINE
CHEMBL2359093|ROSE BENGAL SODIUM
CHEMBL1200935|DARIFENACIN HYDROBROMIDE
CHEMBL1201748|CABAZITAXEL
CHEMBL523299|UMECLIDINIUM BROMIDE
CHEMBL56564|TROPISETRON
CHEMBL1118|DESVENLAFAXINE
CHEMBL256087|MENTHOL
CHEMBL1509|DROSPIRENONE
CHEMBL1083385|CLOPIDOGREL BISULFATE
CHEMBL527|PIROXICAM
CHEMBL1621|PALIPERIDONE
CHEMBL1574|PHENTERMINE
CHEMBL499|TIMOLOL
CHEMBL3183968|CEFTRIAXONE SODIUM
CHEMBL1201642|INSULIN ZINC SUSP PROMPT BEEF
CHEMBL1200532|METHDILAZINE HYDROCHLORIDE
CHEMBL89598|VIGABATRIN
CHEMBL2146102|EPHEDRINE HYDROCHLORIDE
CHEMBL3545189|LANADELUMAB
CHEMBL3833319|REVEFENACIN
CHEMBL1200961|BROMPHENIRAMINE MALEATE
CHEMBL1200878|TRIAMCINOLONE HEXACETONIDE
CHEMBL1201542|INSULIN ZINC SUSP EXTENDED PURIFIED BEEF
CHEMBL2103739|EMEDASTINE DIFUMARATE
CHEMBL3989558|METHYSERGIDE MALEATE
CHEMBL1963681|AVANAFIL
CHEMBL1200721|ESTRAMUSTINE PHOSPHATE SODIUM
CHEMBL178|DAUNORUBICIN
CHEMBL267936|MECAMYLAMINE
CHEMBL131|PREDNISOLONE
CHEMBL1200952|METHAMPHETAMINE HYDROCHLORIDE
CHEMBL1201583|BEVACIZUMAB
CHEMBL1200418|DOBUTAMINE HYDROCHLORIDE
CHEMBL830|EFLORNITHINE
CHEMBL1201065|THIAMYLAL SODIUM
CHEMBL1200412|NANDROLONE PHENPROPIONATE
CHEMBL1200953|HYDROCORTISONE PROBUTATE
CHEMBL10878|AGOMELATINE
CHEMBL1200699|DOXYCYCLINE
CHEMBL1200891|OXYPHENCYCLIMINE HYDROCHLORIDE
CHEMBL436|TOLRESTAT
CHEMBL404108|LUMIRACOXIB
CHEMBL1200896|DINOPROST TROMETHAMINE
CHEMBL752|ADENOSINE PHOSPHATE
CHEMBL501|AMPHETAMINE SULFATE
CHEMBL3989509|PENTAZOCINE LACTATE
CHEMBL2109065|DROTRECOGIN ALFA (ACTIVATED)
CHEMBL374478|RIFAMPIN
CHEMBL1318287|PENTOLINIUM TARTRATE
CHEMBL1200980|ESTROPIPATE
CHEMBL3989921|NERATINIB MALEATE
CHEMBL762|OXYMETAZOLINE
CHEMBL1742471|EBROTIDINE
CHEMBL1200679|ZINC CHLORIDE
CHEMBL494753|ESTRONE SULFURIC ACID
CHEMBL1255943|GLUTAMIC ACID HYDROCHLORIDE
CHEMBL1200831|SPIRAPRIL HYDROCHLORIDE
CHEMBL1567328|OMEPRAZOLE MAGNESIUM
CHEMBL1628227|DOXEPIN
CHEMBL1691|BETAXOLOL HYDROCHLORIDE
CHEMBL12713|SERTINDOLE
CHEMBL1228|OXYPHENBUTAZONE
CHEMBL1096|AMLEXANOX
CHEMBL119|TRIMETREXATE
CHEMBL1200987|EPROSARTAN MESYLATE
CHEMBL1201584|ABCIXIMAB
CHEMBL1240|PROPANTHELINE BROMIDE
CHEMBL1559|MICONAZOLE NITRATE
CHEMBL1200628|VANCOMYCIN HYDROCHLORIDE
CHEMBL1256786|FORMOTEROL
CHEMBL967|TEMAZEPAM
CHEMBL1200436|OXANDROLONE
